投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
570082,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁油箱行驶时异响希望更换,"H147,",2021-02-03,处理反馈
570078,北京奔驰,奔驰GLB,2020款 GLB 200 时尚型,奔驰GLB发动机故障灯亮 天窗开关异常,"A34,H155,",2021-02-03,处理反馈
570074,DS汽车,DS6,2016款 1.6T 豪华版THP160,DS6天窗无法完全关闭希望尽快处理,"H192,",2021-02-03,信息审核
570072,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁高速行驶时修正方向卡顿,"D59,D123,",2021-02-03,处理反馈
570069,东风本田,本田UR-V,2017款 370TURBO 四驱 尊耀版 国V,东风本田UR-V进气格栅开裂厂家不予索赔,"H168,I297,",2021-02-03,处理反馈
570068,庆铃汽车,巨咖,巨咖,庆铃巨咖原车未配备汽笛希望处理,"Q322,",2021-02-03,信息审核
570066,奇瑞汽车,捷途X70,2020款 1.5T DCT 智行版 5座,捷途X70减震器异响 转向异响 颠簸抖动,"D59,G52,G162,",2021-02-03,处理反馈
570059,东风本田,本田CR-V,2017款 240TURBO 自动 两驱 舒适版,东风本田CR-V后轮胎吃胎异常磨损严重,"G245,",2021-02-03,用户评分
570058,宝马（进口）,宝马X7,2021款 xDrive40i 尊享型M运动套装,进口宝马X7座椅出现白色斑痕影响美观,"H169,",2021-02-03,信息审核
570056,一汽-大众,探影,2020款 1.5L 自动 悦,一汽大众探影后视镜无法电动调节,"H110,H211,",2021-02-03,用户评分
570055,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜行驶时排气管异响 不予索赔,"H31,I297,",2021-02-03,处理反馈
570051,特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y热泵压缩机损坏空调不制热,"H101,",2021-02-03,信息审核
570050,上汽大众,途铠,2019款 1.5L 自动 舒适版,上汽大众途铠合同订购车型与实际车型不符,"I293,M280,",2021-02-03,处理反馈
570049,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国VI,东风日产轩逸加满油汽油箱异响 转向异响,"D59,H147,",2021-02-03,处理反馈
570047,一汽奔腾,奔腾B50,2016款 1.6L 自动 舒适型,一汽奔腾B50车身后轮上方生锈腐烂,"H79,",2021-02-03,处理反馈
570045,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳冬季颗粒捕捉器堵塞油耗增加,"A85,A114,",2021-02-03,处理反馈
570043,特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y空调压缩机故障 与宣传不符,"H101,I295,M279,",2021-02-03,信息审核
570042,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑贷款还清后未提供车钥匙,"O354,",2021-02-03,处理反馈
570040,一汽红旗,红旗HS5,2019款 2.0T 智联旗享四驱版,红旗HS5启动后提示废气监控系统故障,"A114,",2021-02-03,信息审核
570038,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯透镜发白影响照明 油耗高,"A85,H82,",2021-02-03,处理反馈
570037,广汽丰田,雷凌,2021款 185T CVT 运动版,广汽丰田雷凌动力消失希望尽快处理,"A255,",2021-02-03,信息审核
570036,东风小康,东风小康C32,2018款 1.2L 改款 基本型 国V DK12,东风小康C32行驶不到一年出现大梁断裂,"G261,",2021-02-03,用户评分
570034,一汽-大众奥迪,奥迪A3,2019款 Sportback 35 TFSI 进取型 国VI,一汽大众奥迪A3发动机烧机油机油消耗异常,"A63,",2021-02-03,信息审核
570032,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L低速车身共振 方向跑偏,"G117,H268,H144,",2021-02-03,用户评分
570028,长安福特,翼虎,2018款 EcoBoost 180 两驱 铂翼型,长安福特翼虎车内异味希望尽快处理,"H185,",2021-02-03,处理反馈
570027,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁右转弯时踩油门加速有异响,"G56,",2021-02-03,处理反馈
570026,一汽-大众奥迪,奥迪A3,2016款 Limousine 1.4T 双离合 领英型,一汽大众奥迪A3变速箱机电单元故障,"B115,",2021-02-03,信息审核
570025,一汽-大众奥迪,奥迪A4L,2016款 1.8T 自动 舒适型,一汽大众奥迪A4L行驶时发动机舱发生自燃,"H40,",2021-02-03,信息审核
570023,DS汽车,DS 4S,2016款 1.2T 进取版THP130,长安标致雪铁龙DS 4S正时皮带掉,"A191,A336,",2021-02-03,信息审核
570022,东风标致,标致408,2014款 1.8L 自动 领先版,东风标致408发动机报故障码P0172,"A34,",2021-02-03,处理反馈
570020,一汽-大众,宝来,2018款 1.5L 手动 舒适型,一汽大众宝来锦湖轮胎开裂要求解决,"F100,",2021-02-03,处理反馈
570019,长安福特,翼虎,2013款 1.6T  四驱精英型,福特翼虎加油时汽油箱异响存在质量问题,"H147,",2021-02-03,处理反馈
570016,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领跑版,奇瑞艾瑞泽5车身底盘车门转向柱多处生锈,"H79,",2021-02-03,用户评分
570013,北京现代,菲斯塔,2021款 280TGDi 精英版,北京现代菲斯塔新车中控屏开裂厂家拒赔,"H168,",2021-02-03,处理反馈
570012,江淮汽车,嘉悦X7,2020款 1.5TGDI 自动 自由+,江淮嘉悦X7厂家质保期内拒绝维修发动机,"A34,I297,",2021-02-03,用户评分
570011,吉利汽车,缤越,2020款 PRO 260T DCT Battle,吉利缤越4S店销售承诺未兑现提不到车,"L313,L312,L311,",2021-02-03,用户评分
570005,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,奥迪Q5L新车车内异响影响正常驾驶,"H164,",2021-02-03,信息审核
570004,奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5前减震器异响反复维修未解决,"G52,J298,",2021-02-03,处理反馈
570002,一汽丰田,皇冠,2015款 2.0T 时尚版,一汽丰田丰田皇冠发动机喷油嘴损坏,"A53,",2021-02-03,信息审核
569999,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧三元催化器故障导致报警,"H54,",2021-02-03,处理反馈
569996,东风乘用车,风神A60,2016款 1.6L 自动 豪华型,东风风神A60发动机电脑一直无配件,"N318,",2021-02-03,厂家受理
569995,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8车身不平整缝隙大制作工艺差,"H209,",2021-02-03,用户评分
569987,长安福特,翼虎,2015款 1.5L GTDi 四驱精英型 5座,长安福特翼虎碳罐堵塞导致油箱有异响,"H271,",2021-02-03,处理反馈
569982,东风标致,标致308S,2015款 1.2T 自动 劲驰版,东风标致308S更换正时皮带后烧机油,"A63,",2021-02-03,处理反馈
569979,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾变速箱故障无法挂入倒挡,"B20,",2021-02-03,用户评分
569976,众泰汽车,云100,2014款 云100 舒适型,众泰云100车辆质保期内发生自燃,"H40,",2021-02-03,信息审核
569973,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换正时皮带后发动机烧机油,"A63,J300,",2021-02-03,处理反馈
569968,广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达经销商保养后发动机拉缸,"A9,A329,",2021-02-03,信息审核
569967,吉利汽车,帝豪GL,2020款 1.4T CVT 豪华型,吉利帝豪GL后备箱无法关闭要求解决,"H68,",2021-02-03,处理反馈
569966,奇瑞汽车,奇瑞E3,2013款 1.5L 智尚型,奇瑞E3车门生锈严重存在质量问题,"H79,",2021-02-03,处理反馈
569965,捷豹,捷豹XJ,2016款 XJL 2.0T 两驱 典雅商务版,捷豹XJ桃木内饰板开裂希望给予解决,"H168,",2021-02-03,处理反馈
569964,东南汽车,东南DX3,2016款 1.5L 手动 豪华型,东南DX3转向异响卡滞行驶方向跑偏,"D59,D123,G117,",2021-02-03,用户评分
569959,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯发白不亮 影响夜间使用,"H82,",2021-02-03,处理反馈
569958,广汽丰田,YARiS L 致炫,2020款 1.5L CVT 领先版,广汽丰田致炫中控异响多次维修未解决,"H93,J300,",2021-02-03,信息审核
569956,东风日产,轩逸,2021款 1.6L XL CVT 悦享版,东风日产轩逸新更换的优科豪马轮胎爆胎,"F130,",2021-02-03,处理反馈
569955,广汽丰田,汉兰达,2015款 2.0T 四驱 豪华版 7座,广汽丰田汉兰达发动机缸体损伤要求解决,"A136,",2021-02-03,信息审核
569951,一汽-大众,T-ROC探歌,2020款 280TSI DSG 两驱 舒适型,一汽大众T-ROC探歌电瓶亏电 变速箱漏油,"B22,H146,",2021-02-03,处理反馈
569948,东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁智连APP无法使用希望厂家处理,"H155,",2021-02-03,处理反馈
569946,东风乘用车,风神A60,2016款 1.6L 自动 豪华型,东风风神A60变速箱无法换挡 空调有异响,"B20,H101,",2021-02-03,厂家受理
569945,特斯拉中国,Model 3,2020款 标准续航 后驱 升级版,特斯拉Model 3动力电池无法充满电,"H340,",2021-02-03,信息审核
569942,一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉发动机异响希望厂家处理,"A9,",2021-02-03,信息审核
569940,奇瑞汽车,瑞虎5,2014款 2.0L 手动 家悦版,奇瑞瑞虎5空调控制面板无法控制 影响使用,"H101,",2021-02-03,处理反馈
569939,东风日产,奇骏,2020款 2.0L XL ITS CVT 2WD 智联舒适版,东风日产奇骏电瓶亏电经常无法启动,"H146,",2021-02-03,处理反馈
569933,长安福特,翼虎,2017款 EcoBoost 180 两驱 豪翼型,长安福特翼虎防冻液渗漏希望厂家处理,"A37,A191,",2021-02-03,处理反馈
569932,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱顿挫 方向机异响,"A12,B19,D59,H101,H67,H110,",2021-02-03,处理反馈
569931,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁加满油后刹车时油箱异响,"H147,",2021-02-03,处理反馈
569928,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾正常行驶时发动机无故熄火,"A14,",2021-02-03,处理反馈
569926,路虎进口,发现,2020款 3.0 SC V6 SE,进口路虎发现行驶熄火 电路系统瘫痪,"A14,H110,",2021-02-03,处理反馈
569923,东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国V,东风本田INSPIRE发动机气门室盖漏油,"A12,",2021-02-03,处理反馈
569920,吉利汽车,远景X6,2020款 1.4T CVT 尊贵型,吉利远景X6手机远程启动功能与宣传不符,"M279,",2021-02-03,处理反馈
569917,华晨宝马,宝马3系,2021款 325Li M运动套装,华晨宝马3系新车被4S店工作人员剐蹭受损,"J299,",2021-02-03,信息审核
569916,东风日产,轩逸,2012款 1.6L XE 自动 舒适版 经典,东风日产轩逸发动机和变速箱异响严重,"A9,B33,",2021-02-03,处理反馈
569915,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧节气门进机油希望厂家处理,"A12,",2021-02-03,处理反馈
